implementation_id,display_name,run_status,slice_family,slice_value,n_expected,n_valid,correct_ratio,hallucination_ratio,omission_ratio,answer_f1,answer_bleu1,retrieval_hit_rate,retrieval_recall_at_10,retrieval_ndcg_at_10,run_id,artifact_sha256
wma-dummy,Dummy / No Memory,PENDING,overall,overall,7906,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,CMR,548,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,DU,606,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,FR,591,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,KR,593,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MB,615,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MC,604,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TR,582,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TTL,582,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,UNKNOWN,1356,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VFR,614,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VS,609,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VU,606,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,agent,6806,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,lifelong,1100,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/embodied,3718,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/gui,3088,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/personal,440,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/project,660,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,easy,1450,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,hard,3047,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,medium,3409,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image,1891,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image+memory,4050,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,memory,1323,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,none,642,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_base,210,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_common_sense,212,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_complex_instruction,214,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_long_horizon,218,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_visual_appearance,161,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_nav_base,217,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_nav_common_sense,217,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_nav_complex_instruction,214,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_nav_long_horizon,262,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_nav_visual_appearance,216,,,,,,,,,,,
