implementation_id,method_id,display_name,implementation_origin,publication_year,modality,family,cli_baseline,comparison_wave,adapter_gate,reproduction_status,main_table_policy,model_retention,notes
wma-dummy,no-memory,Dummy / No Memory,WorldMemArena benchmark-native,,none,lower-bound,Dummy,wave-2-breadth,direct-registered,pending,admit-after-complete-local-run,no-model,Keep distinct from answer-only BaseModel
wma-base-model,base-model,BaseModel (answer-only),WorldMemArena benchmark-native,,multimodal,answer-only,BaseModel,wave-2-breadth,direct-registered,pending,admit-after-complete-local-run,shared-backbone,Retrieval and memory metrics are structurally NA
wma-fumemory,full-memory-text,FUMemory,Mem-Gallery bundled in WorldMemArena,,text,full-memory,FUMemory,wave-2-breadth,direct-registered,pending,admit-after-complete-local-run,shared-backbone,Use the implementation label unless provenance establishes a paper-level mapping
wma-stmemory,stmemory,STMemory,Mem-Gallery bundled in WorldMemArena,,text,short-term-memory,STMemory,wave-2-breadth,direct-registered,pending,admit-after-complete-local-run,shared-backbone,Use the implementation label unless provenance establishes a paper-level mapping
wma-ltmemory,ltmemory,LTMemory,Mem-Gallery bundled in WorldMemArena,,text,long-term-dense-memory,LTMemory,wave-2-breadth,direct-registered,pending,admit-after-complete-local-run,shared-backbone,Uses the frozen local embedding endpoint
wma-gamemory,generative-agent,GAMemory,Mem-Gallery bundled in WorldMemArena,,text,generative-agent-memory,GAMemory,wave-2-breadth,direct-registered,pending,admit-after-complete-local-run,shared-backbone,Paper mapping must remain explicit in the run audit
wma-mgmemory,mgmemory,MGMemory,Mem-Gallery bundled in WorldMemArena,2026,text,hierarchical-memory,MGMemory,wave-2-breadth,direct-registered,pending,admit-after-complete-local-run,shared-backbone,Canonical benchmark-native implementation
wma-rfmemory,rfmemory,RFMemory,Mem-Gallery bundled in WorldMemArena,,text,reflection-memory,RFMemory,wave-2-breadth,direct-registered,pending,admit-after-complete-local-run,shared-backbone,Use the implementation label unless provenance establishes a paper-level mapping
wma-mmmemory,mmmemory,MMMemory,Mem-Gallery bundled in WorldMemArena,,multimodal,multimodal-memory,MMMemory,wave-2-breadth,direct-registered,pending,admit-after-complete-local-run,shared-backbone,Uses text embedding in the frozen implementation
wma-mmfumemory,full-memory-mm,MMFUMemory,Mem-Gallery bundled in WorldMemArena,,multimodal,full-memory,MMFUMemory,wave-2-breadth,direct-registered,pending,admit-after-complete-local-run,shared-backbone,Separate from the AMA-style single-window control
wma-mmfu-single,mmfu-single,MMFU_Single,WorldMemArena benchmark-native,,multimodal,long-context-window,MMFU_Single,wave-1-foundation,lifecycle-accepted,development-smoke-accepted,development-first-then-complete-local-run,shared-backbone,AMA-aligned 70/30 head-tail long-context truncation
wma-ngmemory,ngm,NGMemory,Mem-Gallery bundled in WorldMemArena,2025,multimodal,graph-memory,NGMemory,wave-2-breadth,direct-registered,pending,admit-after-complete-local-run,shared-or-ephemeral,Requires the frozen multimodal embedding endpoint
wma-augustus,augustus,AUGUSTUSMemory,Mem-Gallery bundled in WorldMemArena,2025,multimodal,contextualized-user-memory,AUGUSTUSMemory,wave-2-breadth,direct-registered,pending,admit-after-complete-local-run,shared-or-ephemeral,Requires the frozen multimodal embedding endpoint
wma-universalrag,universalrag,UniversalRAGMemory,Mem-Gallery bundled in WorldMemArena,2025,multimodal,modality-granularity-routing,UniversalRAGMemory,wave-2-breadth,direct-registered,pending,admit-after-complete-local-run,shared-or-ephemeral,Canonical benchmark-native implementation
wma-a-mem,a-mem,A-Mem,WorldMemArena external adapter,2025,text,agentic-linked-notes,A-Mem,wave-2-breadth,direct-registered,pending,admit-after-complete-local-run,shared-backbone,Adapter audit required before numeric run
wma-simplemem,simplemem,SimpleMem,WorldMemArena external adapter,2026,text,semantic-compression,SimpleMem,wave-1-foundation,lifecycle-accepted,development-smoke-accepted,development-first-then-complete-local-run,shared-backbone,Full bundled text path with Tantivy and semantic retrieval
wma-omni-simplemem,omni-simplemem,Omni-SimpleMem,WorldMemArena external adapter,2026,multimodal,multimodal-faiss-memory,Omni-SimpleMem,wave-2-breadth,direct-registered,pending,admit-after-complete-local-run,shared-or-ephemeral,Do not conflate with the separate OmniMem paper agent
wma-vilomem,vilomem,ViLoMem,WorldMemArena external adapter,2025,multimodal,visual-long-term-memory,ViLoMem,wave-1-foundation,lifecycle-accepted,development-smoke-accepted,development-first-then-complete-local-run,shared-backbone,Bundled dual-stream adapter not the complete upstream paper agent
wma-m2a,m2a,M2A,WorldMemArena external adapter,2026,multimodal,dual-layer-hybrid-memory,M2A,wave-1-foundation,lifecycle-accepted,development-smoke-accepted,development-first-then-complete-local-run,shared-backbone,Frozen benchmark path uses direct SemanticStore with run_chat_agent=false
wma-mirix,mirix,MIRIX,WorldMemArena external adapter,2025,multimodal,multi-agent-multi-memory,MIRIX,wave-2-breadth,direct-registered,pending,admit-after-complete-local-run,shared-backbone,Adapter audit required before numeric run
wma-qwen3-vl-embedding-8b,qwen3-vl-embedding-8b,Qwen3-VL-Embedding-8B,WorldMemArena external adapter,,multimodal,embedding-retrieval,Qwen3-VL-Embedding-8B,wave-2-breadth,direct-registered,pending,admit-after-complete-local-run,shared-preexisting-model,Canonical embedding control
wma-structmem,structmem,StructMem,WorldMemArena external adapter,2026,text,event-centric-hierarchical-memory,StructMem,wave-5-newly-verified,source-audit-required,pending,admit-after-complete-local-run,shared-backbone,Official method code is inside the zjunlp LightMem repository and requires an exact source and lifecycle audit
wma-hela-mem,hela-mem,HeLa-Mem,WorldMemArena external adapter,2026,text,hebbian-dual-graph-memory,HeLa-Mem,wave-5-newly-verified,license-audit-blocked,pending,keep-visible-with-na-until-license-resolved,ephemeral-by-run,Official repository has no verified license so source copy adaptation and execution are blocked
agentenhance-ceu,agentenhance-ceu,AgentEnhance-CEU,local project,2026,multimodal,counterfactual-evidence-utility,AgentEnhance-CEU,proposed,not-started,not-started,run-only-after-baseline-gates,shared-or-ephemeral,Proposed row remains locked until the public baseline comparison is accepted
